id,speakers,previous,tokens,tags
562,D2,D2 von Zugführer kommen,Was soll mit dem Kanister geschehen kommen,3
563,ZF,Was soll mit dem Kanister geschehen kommen,Ja das ist so korrekt warten sie noch auf den D3 der wird ihnen als Logistikaufgabe das Überfass bereitstellen kommen,2
564,ZF,Ja das ist so korrekt warten sie noch auf den D3 der wird ihnen als Logistikaufgabe das Überfass bereitstellen kommen,D2 von Zugführer kommen,4
565,D2,D2 von Zugführer kommen,D2 hört kommen,5
566,ZF,D2 hört kommen,Ja für sie zur Information bitte warten bis der D3 als Logistikunterstützung kommt,1
567,ZF,Ja für sie zur Information bitte warten bis der D3 als Logistikunterstützung kommt,er wird ihnen das Überfass zum sichern des Behältnisses bereitstellen kommen,2
568,D2,er wird ihnen das Überfass zum sichern des Behältnisses bereitstellen kommen,Verstanden wir warten kommen,7
569,ZF,Verstanden wir warten kommen,Ja das ist soweit verstanden,2
570,ZF,Ja das ist soweit verstanden,Gruppenführer von Zugführer kommen,4
571,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
572,ZF,Gruppenführer hört,Frage status D3 kommen,3
573,GF,Frage status D3 kommen,Der D3 ist einsatzbereit und wartet auf einen Befehl,2
574,ZF,Der D3 ist einsatzbereit und wartet auf einen Befehl,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,1
575,GF,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,D3 fährt zum D2 vor und Vorbereitung des Überfasses kommen,7
576,ZF,D3 fährt zum D2 vor und Vorbereitung des Überfasses kommen,Ja so korrekt ende,2
577,GF,Ja so korrekt ende,Zugführer von Gruppenführer kommen,4
578,ZF,Zugführer von Gruppenführer kommen,Hier Zugführer kommen,5
579,GF,Hier Zugführer kommen,Die Standorte der Roboter sind im Lagebild nicht zu erkennen kommen,2
580,ZF,Die Standorte der Roboter sind im Lagebild nicht zu erkennen kommen,Ja das ist verstanden,2
581,ZF,Ja das ist verstanden,gebe das an den Techniker hier weiter kommen,2
582,GF,gebe das an den Techniker hier weiter kommen,Ja verstanden ende,2
583,ZF,Ja verstanden ende,D2 von Zugführer kommen,4
584,D2,D2 von Zugführer kommen,D2 hört kommen,5
585,ZF,D2 hört kommen,D3 mit Überfass ist am Standort angekommen,2
586,ZF,D3 mit Überfass ist am Standort angekommen,für sie Beginn des Auftrages Bergung des Behältnisses kommen,1
587,D2,für sie Beginn des Auftrages Bergung des Behältnisses kommen,Auftrag wird ausgeführt kommen,7
588,ZF,Auftrag wird ausgeführt kommen,Ja das ist so korrekt ende,2
589,D1,Ja das ist so korrekt ende,Zugführer D1 bitte kommen,4
590,ZF,Zugführer D1 bitte kommen,Hier Zugführer kommen,5
591,D1,Hier Zugführer kommen,D1 müsste nachladen bitte kommen,2
592,ZF,D1 müsste nachladen bitte kommen,Bitte die Aussage wiederholen kommen,1
593,D1,Bitte die Aussage wiederholen kommen,D1 müsste neue Batterien bekommen dazu müssen wir landen bitte kommen,2
594,ZF,D1 müsste neue Batterien bekommen dazu müssen wir landen bitte kommen,WHS von Zugführer kommen,4
595,WHS,WHS von Zugführer kommen,Hier WHS kommen,5
596,ZF,Hier WHS kommen,Der D1 ist jetzt gerade im Akkuwechsel,2
597,ZF,Der D1 ist jetzt gerade im Akkuwechsel,für sie Übergangsauftrag Bilddarstellung in der Lagerhalle innen kommen,1
598,WHS,für sie Übergangsauftrag Bilddarstellung in der Lagerhalle innen kommen,Auftrag verstanden ende,7
599,ZF,Auftrag verstanden ende,D2 von Zugführer kommen,4
600,D2,D2 von Zugführer kommen,D2 hört kommen,5
601,ZF,D2 hört kommen,Frage ist die Position des Überfasses ausreichend kommen,3
602,D2,Frage ist die Position des Überfasses ausreichend kommen,Die Position von D3 ist OK kommen,7
603,ZF,Die Position von D3 ist OK kommen,Ja das ist verstanden ende,2
604,WHS,Ja das ist verstanden ende,Zugführer an WHS kommen,4
605,D1,Zugführer an WHS kommen,Zugführer von D1,4
606,ZF,Zugführer von D1,Hier Zugführer kommen,5
607,D1,Hier Zugführer kommen,D1 ist wieder bereit bitte kommen,2
608,ZF,D1 ist wieder bereit bitte kommen,Ja das ist verstanden,2
609,ZF,Ja das ist verstanden,für sie noch kurze Pause WHS ist gerade im Erkundungsflug kommen,2
610,D1,für sie noch kurze Pause WHS ist gerade im Erkundungsflug kommen,Haben verstanden ende,2
611,ZF,Haben verstanden ende,Gruppenführer von Zugführer kommen,4
612,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
613,ZF,Gruppenführer hört,Frage Status Lagebildsystem,3
614,GF,Frage Status Lagebildsystem,Ja die Roboter D1 und D2 im Lagebild ersichtlich kommen,2
615,ZF,Ja die Roboter D1 und D2 im Lagebild ersichtlich kommen,Ja das ist verstanden,2
616,GF,Ja das ist verstanden,D3 und D5 können nicht im Lagebild dargestellt werden,2
617,ZF,D3 und D5 können nicht im Lagebild dargestellt werden,D3 und D5 können nicht im Lagebild dargestellt werden das ist verstanden,2
618,D2,D3 und D5 können nicht im Lagebild dargestellt werden das ist verstanden,Zugführer von D2 kommen,4
619,ZF,Zugführer von D2 kommen,Hier Zugführer kommen,5
620,D2,Hier Zugführer kommen,D2 hat den Kanister aufgenommen und fährt ihn jetzt zu D3 kommen,2
621,ZF,D2 hat den Kanister aufgenommen und fährt ihn jetzt zu D3 kommen,Ja das ist verstanden,2
622,ZF,Ja das ist verstanden,bitte melden wenn durchgeführt,1
623,ZF,bitte melden wenn durchgeführt,WHS von Zugführer kommen,4
624,WHS,WHS von Zugführer kommen,hier WHS kommen,5
625,ZF,hier WHS kommen,Für sie ist der Erkundungsauftrag beendet kommen,2
626,WHS,Für sie ist der Erkundungsauftrag beendet kommen,Haben verstanden ende,2
627,ZF,Haben verstanden ende,D1 mitgehört sie können wieder die Innenerkundung starten kommen,1
628,D1,D1 mitgehört sie können wieder die Innenerkundung starten kommen,Verstanden ende,7
629,ZF,Verstanden ende,WHS von Zugführer kommen,4
630,WHS,WHS von Zugführer kommen,Hier WHS kommen,5
631,ZF,Hier WHS kommen,Für sie Erkundungsauftrag Panoramabild der gesammten Lagerhalle kommen,1
632,WHS,Für sie Erkundungsauftrag Panoramabild der gesammten Lagerhalle kommen,Soll das Panoramabild über der Lagerhalle gemacht werden kommen,3
633,ZF,Soll das Panoramabild über der Lagerhalle gemacht werden kommen,Ja das ist so korrekt kommen,7
634,WHS,Ja das ist so korrekt kommen,haben verstanden ende,2
635,ZF,haben verstanden ende,Gruppenführer von Zugführer kommen,4
636,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
637,ZF,Gruppenführer hört,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,1
638,GF,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,Erkundungsauftrag mit dem D5 linke Seite der Lagerhalle kommen,7
639,ZF,Erkundungsauftrag mit dem D5 linke Seite der Lagerhalle kommen,Ja das ist so korrekt,2
640,ZF,Ja das ist so korrekt,Gruppenführer von Zugführer kommen,4
641,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
642,ZF,Gruppenführer hört,Wie sieht der Status dafür aus den D3 gleich mit geschlossenem Überfass aus der Lagerhalle zu fahren kommen,3
643,GF,Wie sieht der Status dafür aus den D3 gleich mit geschlossenem Überfass aus der Lagerhalle zu fahren kommen,Ja ich melde mich gleich kommen,2
644,ZF,Ja ich melde mich gleich kommen,Ja das ist verstanden ende,7
645,GF,Ja das ist verstanden ende,Zugführer von Gruppenführer kommen,4
646,ZF,Zugführer von Gruppenführer kommen,Hier Zugführer kommen,5
647,GF,Hier Zugführer kommen,Zur Information D5 zur Erkundung vor kommen,2
648,ZF,Zur Information D5 zur Erkundung vor kommen,D5 zur Erkundung linker Seite das ist verstanden,2
649,WHS,D5 zur Erkundung linker Seite das ist verstanden,Zugführer von WHS kommen,4
650,GF,Zugführer von WHS kommen,Ja genau ende,2
651,ZF,Ja genau ende,Hier Zugführer kommen wer hat gerufen kommen,5
652,WHS,Hier Zugführer kommen wer hat gerufen kommen,Zugführer von WHS kommen,4
653,ZF,Zugführer von WHS kommen,Ja hier Zugführer kommen,5
654,WHS,Ja hier Zugführer kommen,Panoramabild wurde erstellt kommen,2
655,ZF,Panoramabild wurde erstellt kommen,Ja das ist verstanden,2
656,ZF,Ja das ist verstanden,ist das im Lagebildsystem zu erkennen kommen,3
657,WHS,ist das im Lagebildsystem zu erkennen kommen,Im Lagebildsystem ist nicht kann es nicht erkannt werden kommen,0
658,GF,Im Lagebildsystem ist nicht kann es nicht erkannt werden kommen,Zugführer von Gruppenführer kommen,4
659,ZF,Zugführer von Gruppenführer kommen,Hier Zugführer kommen,5
660,GF,Hier Zugführer kommen,Frage der D3 soll noch nicht zurückgesetzt werden kommen,3
661,ZF,Frage der D3 soll noch nicht zurückgesetzt werden kommen,Ja das ist korrekt,7
662,ZF,Ja das ist korrekt,wir warten noch auf die Verfrachtung des Behälters und danach wird er verschlossen kommen,2
663,GF,wir warten noch auf die Verfrachtung des Behälters und danach wird er verschlossen kommen,Ja verstanden ende,2
664,GF,Ja verstanden ende,D5 von Gruppenführer kommen,4
665,GF,D5 von Gruppenführer kommen,falsches Funkgerät,2
666,ZF,falsches Funkgerät,Gruppenführer von Zugführer kommen,4
667,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
668,D2,Gruppenführer hört,Zugführer von D2 kommen,4
669,ZF,Zugführer von D2 kommen,Bitte ich sehe das bild vom D5 im Lagebildsystem bitte einmal die Gasse komplett durch,1
670,D2,Bitte ich sehe das bild vom D5 im Lagebildsystem bitte einmal die Gasse komplett durch,Zugführer von D2 kommen,4
671,GF,Zugführer von D2 kommen,Ja verstanden,7
672,ZF,Ja verstanden,Hier Zugführer kommen,5
673,D2,Hier Zugführer kommen,D2 hat das Fass in das Überfass abgelegt,2
674,D2,D2 hat das Fass in das Überfass abgelegt,soll das Überfass auch abgedichtet werden kommen,3
675,ZF,soll das Überfass auch abgedichtet werden kommen,Behältniss wurde ins Überfass verfrachtet,2
676,ZF,Behältniss wurde ins Überfass verfrachtet,positiv  das Fass soll geschlossen werden kommen,7
677,D2,positiv  das Fass soll geschlossen werden kommen,Verstanden ende,2
678,ZF,Verstanden ende,D1 von Zugführer kommen,4
679,D1,D1 von Zugführer kommen,Hier D1 kommen,5
680,ZF,Hier D1 kommen,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,1
681,D1,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,So verstanden ende,7
682,WHS,So verstanden ende,Zugführer von WHS kommen,4
683,ZF,Zugführer von WHS kommen,Hier Zugführer kommen,5
684,WHS,Hier Zugführer kommen,Die Drohne muss jetzt landen,2
685,WHS,Die Drohne muss jetzt landen,weil der Akku leer ist kommen,2
686,ZF,weil der Akku leer ist kommen,Schon wieder dann schicken wir doch wieder WHS ins Rennen kommen,2
687,ZF,Schon wieder dann schicken wir doch wieder WHS ins Rennen kommen,WHS mitgehört kommen,2
688,WHS,WHS mitgehört kommen,WHS muss landen kommen,2
689,ZF,WHS muss landen kommen,Ja das ist verstanden,2
690,WHS,Ja das ist verstanden,Zugführer von WHS kommen,4
691,ZF,Zugführer von WHS kommen,Ja hier Zugführer kommen,5
692,WHS,Ja hier Zugführer kommen,Unsere Drohne ist wieder einsatzbereit kommen,2
693,ZF,Unsere Drohne ist wieder einsatzbereit kommen,Ja das ist verstanden,2
694,ZF,Ja das ist verstanden,für sie noch kein Einsatz der D1 ist noch im Flug im inneren kommen,2
695,WHS,für sie noch kein Einsatz der D1 ist noch im Flug im inneren kommen,Haben verstanden kommen,2
696,ZF,Haben verstanden kommen,Gruppenführer von Zugführer kommen,4
697,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
698,ZF,Gruppenführer hört,Ja Frage status Erkundungsergebnisse vom D5 kommen,3
699,GF,Ja Frage status Erkundungsergebnisse vom D5 kommen,Ja bleiben sie kurz dran,6
700,GF,Ja bleiben sie kurz dran,Zugführer von Gruppenführer,4
701,ZF,Zugführer von Gruppenführer,Hier Zugführer hört,5
702,GF,Hier Zugführer hört,Ja noch keine Auffälligkeiten bei Erkundung durch D5,2
703,ZF,Ja noch keine Auffälligkeiten bei Erkundung durch D5,Das ist verstanden,2
704,ZF,Das ist verstanden,dann für sie neuer Erkundungssauftrag in die Halle einfahren und den D2 durch eine Bildübertragung unterstützen kommen,1
705,GF,dann für sie neuer Erkundungssauftrag in die Halle einfahren und den D2 durch eine Bildübertragung unterstützen kommen,Ja den D2 duch eine Bildübertragung unterstützen kommen,7
706,ZF,Ja den D2 duch eine Bildübertragung unterstützen kommen,Ja das ist so korrekt,2
707,ZF,Ja das ist so korrekt,für sie noch zur Information der Kanister wurde geborgen das Fass wird nun versiegelt kommen,2
708,GF,für sie noch zur Information der Kanister wurde geborgen das Fass wird nun versiegelt kommen,Der Gefahrgutbehälter wurde geborgen das Überfass wird verschlossen habe verstanden kommen,2
709,ZF,Der Gefahrgutbehälter wurde geborgen das Überfass wird verschlossen habe verstanden kommen,Ja so korrekt ende,2
710,ZF,Ja so korrekt ende,D1 von Zugführer kommen,4
711,D1,D1 von Zugführer kommen,D1 hört,5
712,ZF,D1 hört,Frage wolltet ihr nicht landen kommen,3
713,D1,Frage wolltet ihr nicht landen kommen,Wir haben noch 4 Minuten mindestens,2
714,ZF,Wir haben noch 4 Minuten mindestens,Ja perfekt für sie zur Information der D5 kommt jetzt auch zur Unterstützung mit Bildübertragung in die Halle kommen,2
715,D1,Ja perfekt für sie zur Information der D5 kommt jetzt auch zur Unterstützung mit Bildübertragung in die Halle kommen,Alles klar ende,2
716,ZF,Alles klar ende,D2 für Zugführer kommen,4
717,ZF,D2 für Zugführer kommen,D2 für Zugführer kommen,4
718,D2,D2 für Zugführer kommen,D2 hört kommen,5
719,ZF,D2 hört kommen,Ja für sie zur Information der D5 kommt auch noch zur Unterstützung mittels Bildübertragung in die Halle kommen,2
720,D2,Ja für sie zur Information der D5 kommt auch noch zur Unterstützung mittels Bildübertragung in die Halle kommen,Verstanden ende,2
721,GF,Verstanden ende,Zugführer von Gruppenführer kommen,4
722,ZF,Zugführer von Gruppenführer kommen,Zugführer kommen,5
723,GF,Zugführer kommen,Ja zur Information der D5 fährt jetzt in die Halle ein um D2 zu unterstützen kommen,2
724,ZF,Ja zur Information der D5 fährt jetzt in die Halle ein um D2 zu unterstützen kommen,Ja soweit verstanden,2
725,D2,Ja soweit verstanden,Zugführer von D2 kommen,4
726,ZF,Zugführer von D2 kommen,Hier Zugführer kommen,5
727,GF,Hier Zugführer kommen,Zugführer von Gruppenführer kommen,4
728,ZF,Zugführer von Gruppenführer kommen,Gruppenführer warten sie kurz ende,6
729,D2,Gruppenführer warten sie kurz ende,Das Überfass wurde verschlossen kommen,2
730,ZF,Das Überfass wurde verschlossen kommen,Ja hier Zugführer das Überfass wurde versiegelt ist das korrekt kommen,3
731,D2,Ja hier Zugführer das Überfass wurde versiegelt ist das korrekt kommen,Das ist korrekt kommen,7
732,ZF,Das ist korrekt kommen,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,1
733,D2,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,Verstanden kommen,7
734,ZF,Verstanden kommen,So korrekt ende,2
735,ZF,So korrekt ende,Gruppenführer von Zugführer kommen,4
736,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
737,ZF,Gruppenführer hört,Sie hatten vorhin Sprechwunsch kommen,3
738,GF,Sie hatten vorhin Sprechwunsch kommen,Der D5 hat den Zielort erreicht,2
739,GF,Der D5 hat den Zielort erreicht,frage ausreichend Bildmaterial zur Unterstützung erhalten kommen,3
740,D1,frage ausreichend Bildmaterial zur Unterstützung erhalten kommen,Zugführer von D1 kommen,4
741,ZF,Zugführer von D1 kommen,Das Bild ist super,2
742,ZF,Das Bild ist super,für sie zur Information das Überfass wurde versiegelt und der D2 fährt jetzt an der Gefahrenbereich heran kommen,2
743,GF,für sie zur Information das Überfass wurde versiegelt und der D2 fährt jetzt an der Gefahrenbereich heran kommen,Ja verstanden,2
744,ZF,Ja verstanden,D2 von Zugführer kommen,4
745,D2,D2 von Zugführer kommen,D2 hört kommen,5
746,ZF,D2 hört kommen,Sofortiger Stop des Roboters,1
747,ZF,Sofortiger Stop des Roboters,Kontaminationsverschleppung,2
748,ZF,Kontaminationsverschleppung,bitte verweilen sie am Gefahrenbereich kommen,1
749,D2,bitte verweilen sie am Gefahrenbereich kommen,Verstanden kommen,7
750,ZF,Verstanden kommen,Schön wieder zurück,1
751,ZF,Schön wieder zurück,das zeug wollen wir hier nicht draußen haben,2
752,D2,das zeug wollen wir hier nicht draußen haben,Verstanden kommen,7
753,D1,Verstanden kommen,Zugführer von D1 bitte kommen,4
754,ZF,Zugführer von D1 bitte kommen,Hier Zugführer kommen,5
755,D1,Hier Zugführer kommen,D1 muss landen bitte kommen,2
756,GF,D1 muss landen bitte kommen,Zugführer von Gruppenführer kommen,4
757,ZF,Zugführer von Gruppenführer kommen,Ja das ist verstanden,2
758,ZF,Ja das ist verstanden,auch für sie zur Information der D2 hat seinen Auftrag erledigt,2
759,ZF,auch für sie zur Information der D2 hat seinen Auftrag erledigt,für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,1
760,D1,für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,verstanden ende,7
761,ZF,verstanden ende,hier Zugführer kommen,5
762,GF,hier Zugführer kommen,Ja frage Einsatzbefehl für den D2,3
763,GF,Ja frage Einsatzbefehl für den D2,der D2 steht zum Abstransport mit Behälter bereit,2
764,ZF,der D2 steht zum Abstransport mit Behälter bereit,Korrektur der D3 Fragezeichen kommen,3
765,GF,Korrektur der D3 Fragezeichen kommen,Ja das ist korrekt der D3 kommen,7
766,ZF,Ja das ist korrekt der D3 kommen,Dann Auftag für den D3 das Fass an die Gefahrengrenze bringen,1
767,GF,Dann Auftag für den D3 das Fass an die Gefahrengrenze bringen,Ja das Überfass mit dem D3 an die Gefahrengrenze bringen verstanden,7
768,ZF,Ja das Überfass mit dem D3 an die Gefahrengrenze bringen verstanden,D2 von Zugführer kommen,4
769,D2,D2 von Zugführer kommen,D2 kommen,5
770,ZF,D2 kommen,Für sie ist der einsatz hier beendet,1
771,ZF,Für sie ist der einsatz hier beendet,der roboter wird an den Dekontaminationstrupp übergeben kommen,2
772,D2,der roboter wird an den Dekontaminationstrupp übergeben kommen,Verstanden kommen,7
773,GF,Verstanden kommen,Zugführer von Gruppenführer kommen,4
774,ZF,Zugführer von Gruppenführer kommen,Zugführer hört,5
775,GF,Zugführer hört,Ja der D3 ist jetzt mit Überfass an der Gefahrengrenze kommen,2
776,ZF,Ja der D3 ist jetzt mit Überfass an der Gefahrengrenze kommen,Verstanden,2
777,ZF,Verstanden,für sie hier auch Einsatzende,1
778,GF,für sie hier auch Einsatzende,Ja verstanden ende,7
779,TL,Ja verstanden ende,Operator Boden 2 hörst du mich?,4
780,UGV-2,Operator Boden 2 hörst du mich?,hier spricht der Roboter-Operator 2 ich höre Sie klar und deutlich,5
781,TL,hier spricht der Roboter-Operator 2 ich höre Sie klar und deutlich,Operator Boden 1 für Teamleader kommen,4
782,UGV-1,Operator Boden 1 für Teamleader kommen,ich kann dich klar und deutlich verstehen,5
783,TL,ich kann dich klar und deutlich verstehen,großartig,2
784,TL,großartig,Mission Commander für Teamleader,4
785,MC,Mission Commander für Teamleader,Mission Commander hört,5
786,TL,Mission Commander hört,wir sind soweit Kommunikation klappt,2
787,MC,wir sind soweit Kommunikation klappt,ja verstanden,2
788,MC,ja verstanden,dann warten wir auf das Startsignal das wird ein Martinhorn sein,2
789,MC,dann warten wir auf das Startsignal das wird ein Martinhorn sein,UAV auf Position?,3
790,TL,UAV auf Position?,Teamleader hört,5
791,MC,Teamleader hört,auf dem Gelände hat es eine Explosion gegeben in nem unklaren Raum,2
792,MC,auf dem Gelände hat es eine Explosion gegeben in nem unklaren Raum,wir haben im Moment Feuer drei gemeldet,2
793,MC,wir haben im Moment Feuer drei gemeldet,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,1
794,MC,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,so ihr Einsatzauftrag postieren Sie sich innerhalb der großen Halle im sicheren Bereich,1
795,MC,so ihr Einsatzauftrag postieren Sie sich innerhalb der großen Halle im sicheren Bereich,und melden Sie mir wenn Sie einsatzbereit sind,1
796,TL,und melden Sie mir wenn Sie einsatzbereit sind,hier Teamleader verstanden,7
797,TL,hier Teamleader verstanden,Team auf Position gehen,1
798,TL,Team auf Position gehen,Boden 1 nach rechts,1
799,UGV-2,Boden 1 nach rechts,ja ich versuche das rauszufinden,7
800,MC,ja ich versuche das rauszufinden,Teamleader für Mission Commander,4
801,TL,Teamleader für Mission Commander,hier Teamleader,5
802,MC,hier Teamleader,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft,1
803,MC,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft,suchen Sie nach möglichen Rauchentwicklungen,1
804,MC,suchen Sie nach möglichen Rauchentwicklungen,konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,1
805,TL,konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,ja Einsatzauftrag verstanden,7
806,TL,ja Einsatzauftrag verstanden,Operator Boden 1 fahren Sie nach links,1
807,UGV-1,Operator Boden 1 fahren Sie nach links,Operator Boden 1 hat gehört,2
808,UGV-1,Operator Boden 1 hat gehört,ich fahre nach links,7
809,UGV-1,ich fahre nach links,sehe dort schon Rauch- entwicklung,2
810,TL,sehe dort schon Rauch- entwicklung,da ein Foto machen,1
811,TL,da ein Foto machen,Operator Boden 2 ein Foto senden,1
812,UGV-2,Operator Boden 2 ein Foto senden,hier ist Operator Boden 2,4
813,UGV-2,hier ist Operator Boden 2,wir können momentan keine Fotos machen,0
814,TL,wir können momentan keine Fotos machen,hier Teamleader verstanden,2
815,TL,hier Teamleader verstanden,UAV?,4
816,TL,UAV?,bitte eine Gesamtübersicht von dem zentralen Gebäude,1
817,MC,bitte eine Gesamtübersicht von dem zentralen Gebäude,Teamleader von Mission Commander,4
818,TL,Teamleader von Mission Commander,Teamleader hört,5
819,MC,Teamleader hört,zu Ihrer Information es werden zwei vermisste Personen gemeldet,2
820,TL,zu Ihrer Information es werden zwei vermisste Personen gemeldet,zwei vermisste Personen verstanden,2
821,TL,zwei vermisste Personen verstanden,Operator Boden 1,4
822,TL,Operator Boden 1,das Bild ist noch nicht angekommen,2
823,UGV-1,das Bild ist noch nicht angekommen,Teamleader hast du jetzt ein Bild?,3
824,TL,Teamleader hast du jetzt ein Bild?,negativ,0
825,UGV-1,negativ,ja es klappt irgendwie nicht,2
826,MC,ja es klappt irgendwie nicht,Teamleader von Mission Commander kommen,4
827,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
828,MC,Teamleader hört,ich hab auf meinem Bildschirm ein Bild der UAV,2
829,MC,ich hab auf meinem Bildschirm ein Bild der UAV,können Sie das Bild interpretieren?,3
830,TL,können Sie das Bild interpretieren?,das Bild habe ich auch ich versuch's gerade größer zu machen,2
831,MC,das Bild habe ich auch ich versuch's gerade größer zu machen,Teamleader von Mission Commander kommen,4
832,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
833,MC,Teamleader hört,einer der Arbeiter hat zuletzt auf einem höheren Level der Anlage gearbeitet im Bereich des linken Hochofens ungefähr in 50 Meter Höhe,2
834,TL,einer der Arbeiter hat zuletzt auf einem höheren Level der Anlage gearbeitet im Bereich des linken Hochofens ungefähr in 50 Meter Höhe,hier Teamleader verstanden,2
835,TL,hier Teamleader verstanden,UAV-Operator für Teamleader kommen,4
836,UAV,UAV-Operator für Teamleader kommen,UAV-Operator ja?,5
837,TL,UAV-Operator ja?,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe,1
838,TL,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe,und dann ein Foto senden,1
839,UAV,und dann ein Foto senden,okay,7
840,TL,okay,Operator Boden 2,4
841,TL,Operator Boden 2,können Sie ein Bild senden?,3
842,UGV-2,können Sie ein Bild senden?,hier Operator Boden 2,5
843,UGV-2,hier Operator Boden 2,momentan kann ich keine Bilder senden,0
844,MC,momentan kann ich keine Bilder senden,Teamleader von Mission Commander,4
845,TL,Teamleader von Mission Commander,hier Teamleader,5
846,MC,hier Teamleader,auf einem der Fotos sind Rauchentwicklungen zu erkennen,2
847,MC,auf einem der Fotos sind Rauchentwicklungen zu erkennen,wie ist der Status Ihrer Bodenroboter beziehungsweise der Standort?,3
848,MC,wie ist der Status Ihrer Bodenroboter beziehungsweise der Standort?,ist es möglich die Quelle der Rauchentwicklung mit dem Bodenroboter zu finden?,3
849,UGV-1,ist es möglich die Quelle der Rauchentwicklung mit dem Bodenroboter zu finden?,Teamleader zu Bodenoperator 1 kommen,4
850,TL,Teamleader zu Bodenoperator 1 kommen,Bodenoperator 1 sprechen,5
851,UGV-1,Bodenoperator 1 sprechen,Leckage entdeckt über Bodenroboter,2
852,TL,Leckage entdeckt über Bodenroboter,sehr gut,2
853,TL,sehr gut,einmal ein Foto machen,1
854,UGV-1,einmal ein Foto machen,ich versuch' das mal,7
855,UAV,ich versuch' das mal,UAV Operator,4
856,UAV,UAV Operator,wir haben uns den Hochofen jetzt von oben angeguckt es ist nirgendwo ein Opfer zu sehen,2
857,TL,wir haben uns den Hochofen jetzt von oben angeguckt es ist nirgendwo ein Opfer zu sehen,ist von oben Verrauchung zu sehen?,3
858,UAV,ist von oben Verrauchung zu sehen?,ja,7
859,TL,ja,dann bitte einmal ein Foto davon und wieder landen,1
860,UAV,dann bitte einmal ein Foto davon und wieder landen,okay,7
861,TL,okay,Mission Commander für Teamleader,4
862,MC,Mission Commander für Teamleader,Mission Commander hört,5
863,TL,Mission Commander hört,der Operator Boden 1 hat eine Leckage entdeckt,2
864,TL,der Operator Boden 1 hat eine Leckage entdeckt,das ist auf der ersten Etage und man könnte von hier unten einen Löscheingriff aufbauen und das Ganze eingrenzen,2
865,MC,das ist auf der ersten Etage und man könnte von hier unten einen Löscheingriff aufbauen und das Ganze eingrenzen,ja,2
866,MC,ja,dann überstelle ich Ihnen einen Trupp der sich auf der entgegengesetzten Seite auf der Brücke bereitet,2
867,MC,dann überstelle ich Ihnen einen Trupp der sich auf der entgegengesetzten Seite auf der Brücke bereitet,bitte über Kanal 53WU ansprechen,1
868,TL,bitte über Kanal 53WU ansprechen,ja verstanden,7
869,UGV-1,ja verstanden,Teamleader von Bodenoperator 1,4
870,TL,Teamleader von Bodenoperator 1,hier Teamleader,5
871,UGV-1,hier Teamleader,'s ist technisch nicht möglich Bilder zu senden,2
872,TL,'s ist technisch nicht möglich Bilder zu senden,ja verstanden,2
873,MC,ja verstanden,Teamleader von Mission Commander kommen,4
874,TL,Teamleader von Mission Commander kommen,Mission Commander für Teamleader,4
875,MC,Mission Commander für Teamleader,Mission Commander hört,5
876,TL,Mission Commander hört,Sie hatten was?,3
877,MC,Sie hatten was?,ja,7
878,MC,ja,gibt es eine Information über die Substanz die dort austritt?,3
879,TL,gibt es eine Information über die Substanz die dort austritt?,ja von Operator Boden 1,7
880,TL,ja von Operator Boden 1,Operator Boden 1 für Teamleader kommen,4
