id,speakers,isoda,tokens,tags
399,UAV,Einsatzbefehl,tauschen eben die Kameras,2
400,UAV,Information geben,dann sind wir wieder dabei und suchen dann nach weiteren Fässern,2
401,TL,Sonstiges,ja verstanden,2
402,TL,Information_nachfragen,in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,3
403,UAV,Sonstiges,ja ist verstanden,2
404,UAV,Information geben,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,0
405,TL,Sonstiges,okay,2
406,TL,Kontakt Anfrage,an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV,4
407,TL,Kontakt Bestätigung,Übungsende,2
408,UGV-1,Sonstiges,UGV 1 verstanden,2
409,UGV-2,Sonstiges,UGV 2 verstanden,2
410,UAV,Sonstiges,UAV auch verstanden,2
411,WHS,Kontakt Anfrage,Zugführer von WHS kommen,4
412,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
413,GF,Kontakt Bestätigung,Gruppenführer hört,5
414,ZF,Kontakt Anfrage,Frage Lautstärke Verständigung kommen,3
415,GF,Sonstiges,Ja Lautstärke und Verständigung gut kommen,7
416,ZF,Sonstiges,Ja das ist so verstanden ende,2
417,GF,Zusage,Ja ende,2
418,ZF,Kontakt Anfrage,Das WHS von Zugführer kommen,4
419,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
420,D2,Kontakt Bestätigung,D2 hier kommen,5
421,ZF,Information nachfragen,Frage Lautstärke und Verständigung kommen,3
422,D2,Einsatzbefehl,Nochmal bitte kommen,1
423,ZF,Information nachfragen,Frage Lautstärke und Verständigung kommen,3
424,D2,Information geben,Lautstärke und Verständigung sind super kommen,7
425,ZF,Sonstiges,Das ist verstanden ende,2
426,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
427,WHS,Kontakt Bestätigung,Ja ich höre kommen,5
428,ZF,Kontakt Anfrage,Bei dir auch Frage Lautstärke und Verständigung kommen,3
429,WHS,Information geben,Lautstärke und Verständigung ende,7
430,ZF,Kontakt Anfrage,D1 von Zugführer kommen,4
431,ZF,Kontakt Anfrage,D1 von Zugführer kommen,4
432,D1,Kontakt Bestätigung,D1 hier,5
433,ZF,Sonstiges,Ja auch für euch Frage Lautstärke und Verständigung kommen,3
434,D1,Kontakt Bestätigung,Lautstärke OK,7
435,ZF,Sonstiges,Das ist so verstanden,2
436,ZF,Information nachfragen,Frage seid ihr einsatzbereit kommen,3
437,D1,Information geben,Sind einsatzbereit kommen,7
438,ZF,Sonstiges,Ja das ist verstanden ende,2
439,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
440,GF,Kontakt Bestätigung,Gruppenführer hört,5
441,ZF,Zusage,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,1
442,GF,Einsatzbefehl,Einmal die Kommunikation der Robotertrupps checken und die Einsatzbereitschaft herstellen,7
443,ZF,Zusage,Das ist so korrekt Ende,2
444,GF,Sonstiges,Ja verstanden ende,2
445,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
446,D2,Kontakt Bestätigung,D2 hier kommen,5
447,ZF,Information nachfragen,Frage seit ihr einsatzbereit kommen,3
448,D2,Information geben,Wir haben gerade kein <unverständlich> und wir müssen noch ins Auto fahren.,0
449,D2,Einsatzbefehl,Also circa 5 Minuten kommen,2
450,ZF,Sonstiges,Das ist soweit verstanden,2
451,ZF,Einsatzbefehl,dann bitte selbständig anfunken kommen,1
452,D2,Sonstiges,Verstanden ende,7
453,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
454,WHS,Kontakt Bestätigung,WHS hier kommen,5
455,ZF,Information nachfragen,Frage sind sie einsatzbereit kommen,3
456,WHS,Sonstiges,Nur eine Sekunde ende,2
457,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
458,GF,Kontakt Bestätigung,Gruppenführer hört,5
459,ZF,Information geben,Ja für sie zur Information der D1 ist startklar der D2 brauch noch circa 5 Minuten bis zur Einsatzbereitschaft kommen,2
460,GF,Sonstiges,Ja verstanden ende,2
461,WHS,Kontakt Anfrage,Zugführer von WHS,4
462,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
463,WHS,Kontakt Bestätigung,Wir wären bereit ende,2
464,ZF,Sonstiges,Das ist verstanden ende,2
465,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
466,ZF,Kontakt Anfrage,Ja hier Zugführer kommen,5
467,GF,Information geben,Der D3 und D5 einsatzbereit kommen,2
468,ZF,Sonstiges,D3 und D5 ist einsatzbereit das ist verstanden,2
469,D2,Kontakt Anfrage,Zugführer von D2 kommen,4
470,ZF,Kontakt Anfrage,Ja hier Zugführer kommen,7
471,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
472,D2,Kontakt Bestätigung,D2 hier kommen,5
473,ZF,Sonstiges,Ja sie wollten etwas sagen kommen,3
474,D2,Information geben,D2 ist einsatzbereit kommen,2
475,ZF,Sonstiges,D2 ist einsatzbereit das ist verstanden,2
476,ZF,Einsatzbefehl,Bitte auf Übungsbeginn warten kommen,1
477,D2,Sonstiges,Verstanden ende,7
478,ZF,Kontakt Anfrage,An alle einsatzkräfte Übungsbeginn kommen,2
479,WHS,Sonstiges,WHS hier verstanden,2
480,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
481,GF,Kontakt Bestätigung,Gruppenführer hört,5
482,ZF,Information geben,Einsatzszenario ist jetzt beginnend,2
483,GF,Information geben,Einsatzszenario beginnt Verstanden,2
484,ZF,Sonstiges,Verstanden ende,2
485,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
486,GF,Kontakt Bestätigung,Gruppenführer hört,5
487,ZF,Einsatzbefehl,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,1
488,GF,Sonstiges,Ja verstanden,7
489,ZF,Kontakt Anfrage,D1 von Zugführer kommen,4
490,D1,Kontakt Bestätigung,D1 hört kommen,5
491,ZF,Information geben,Die Einsatzstelle wurde begangen. Wir haben einen Gefahrstoffunfall in einem Lager.,2
492,ZF,Einsatzbefehl,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,1
493,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
494,GF,Kontakt Bestätigung,Gruppenführer hört,5
495,ZF,Information geben,der erste erkundungsflug ist jetzt mit der ersten Drohne gestartet worden kommen,2
496,GF,Sonstiges,Ja erster erkundungsflug mit der Drohne gestartet verstanden kommen,2
497,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
498,WHS,Kontakt Bestätigung,Hier WHS kommen,5
499,WHS,Kontakt Bestätigung,WHS hört kommen,5
500,ZF,Kontakt Anfrage,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor,2
501,ZF,Kontakt Anfrage,Für sie Auftrag Erkundung innen der Halle kommen,1
502,WHS,Sonstiges,WHS hat verstanden kommen Erkundung innen verstanden <eh> kommen,7
503,ZF,Sonstiges,Ja das ist verstanden ende,2
504,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
505,GF,Kontakt Bestätigung,Gruppenführer hört,5
506,ZF,Kontakt Anfrage,Für sie zur Information der D1 ist zur Erkundung des Außenbereiches vor die WHS Drohne ist zur Innenerkundung vor kommen,2
507,GF,Sonstiges,Ja das ist verstanden ende,2
508,ZF,Einsatzbefehl,Für sie bitte die Inbetriebnahme der Roboter D3 und D5 kommen,1
509,GF,Sonstiges,Inbetriebnahme D3 und D5 verstanden,7
510,ZF,Information geben,Das ist so korrekt sie warten bitte noch auf weitere Einsatzbefehle kommen,1
511,GF,Sonstiges,Wir warten in Bereitschaft verstanden,7
512,ZF,Kontakt Anfrage,D1 von Zugführer kommen,4
513,D1,Kontakt Bestätigung,D1 hört,5
514,ZF,Information nachfragen,Frage hat der Erkundungsauftrag Lagerhalle außen schon Erkenntnisse hervorgebracht kommen,3
515,D1,Information geben,Bisher nichts zu sehen,0
516,ZF,Information geben,Von außen keine Erkenntnise ist das korrekt kommen,3
517,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
518,WHS,Kontakt Bestätigung,WHS hört,5
519,ZF,Information geben,Frage ich kann das bild ihrer Drohne auf dem Bildschirm sehen,2
520,ZF,Einsatzbefehl,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,1
521,WHS,Sonstiges,WHS hat verstanden kommen,7
522,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
523,WHS,Kontakt Bestätigung,WHS hört,5
524,ZF,Information geben,ein stückchen näher ran,1
525,WHS,Sonstiges,Ja habe verstanden ende,7
526,ZF,Zusage,Ja perfekt so ist es zu erkennen,2
527,ZF,Information geben,die nummer wird jetzt in die Datenbank eingegeben,2
528,ZF,Kontakt Anfrage,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,1
529,WHS,Sonstiges,WHS hat verstanden ende,7
530,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
531,GF,Kontakt Bestätigung,Gruppenführer hört,5
532,ZF,Information geben,Ja Erkundungsergebnisse von dem Innenflug haben ergeben es handelt sich nach HON nummer um Schwefelsäure,2
533,ZF,Information geben,keine Einsatzkraft betritt den Gefahrenbereich kommen,2
534,GF,Sonstiges,Erkundung ergeben Stoffidentifikation Schwefelsäure keine Einsatzkraft betritt den Gefahrenbereich verstanden,2
535,ZF,Information geben,Es handelt sich um einen umgekippten 20Liter Kanister der vom Regal runtegefallen ist und sich geöffnet handelt,2
536,ZF,Information geben,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,1
537,ZF,Sonstiges,Falsch den hast du ja gar nicht,6
538,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
539,D2,Kontakt Bestätigung,D2 hört kommen,5
540,GF,Information geben,Die manipulation wird vom Trupp D2 vorgenommen wir warten weiter ab,2
541,ZF,Kontakt Anfrage,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure,2
542,ZF,Einsatzbefehl,für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,1
543,D2,Information geben,Verstanden Auftrag wird ausgeführt ende,7
544,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
545,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
546,D2,Kontakt Bestätigung,D2 hört kommen,5
547,ZF,Information nachfragen,Frage an sie sie hatten auch das aufnahmebild vom inneren der Lagerhalle gesehen kommen,3
548,D2,Sonstiges,Ja,7
549,ZF,Kontakt Anfrage,D1 von Zugführer kommen,4
550,D1,Kontakt Bestätigung,D1 hier kommen,5
551,ZF,Information geben,Für sie Paralleleinsatz der D2 geht zur Manipulation in die Lagerhalle vor,2
552,ZF,Kontakt Anfrage,für sie Bereitstellung eines Luftbildes aus der Halle kommen,1
553,D1,Sonstiges,Verstanden ende,7
554,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
555,GF,Kontakt Bestätigung,Sie haben sprechwunsch,5
556,ZF,Zusage,Das ist so korrekt,2
557,ZF,Information geben,der befindet sich gerade in der Anfahrt zum Gefahrgutobjekt,2
558,ZF,Kontakt Anfrage,für sie logistische Unterstützung durch den D3 mit dem Überfass kommen,1
559,GF,Sonstiges,D2 auf der Anfahrt zur Manipulation D3 zur Unterstützung vor das ist verstanden kommen,7
560,ZF,Zusage,Ja das ist so korrekt ende,2
561,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
562,D2,Information nachfragen,Was soll mit dem Kanister geschehen kommen,3
563,ZF,Information geben,Ja das ist so korrekt warten sie noch auf den D3 der wird ihnen als Logistikaufgabe das Überfass bereitstellen kommen,2
564,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
565,D2,Kontakt Bestätigung,D2 hört kommen,5
566,ZF,Sonstiges,Ja für sie zur Information bitte warten bis der D3 als Logistikunterstützung kommt,1
567,ZF,Information nachfragen,er wird ihnen das Überfass zum sichern des Behältnisses bereitstellen kommen,2
568,D2,Kontakt Bestätigung,Verstanden wir warten kommen,7
569,ZF,Sonstiges,Ja das ist soweit verstanden,2
570,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
571,GF,Kontakt Bestätigung,Gruppenführer hört,5
572,ZF,Sonstiges,Frage status D3 kommen,3
573,GF,Information geben,Der D3 ist einsatzbereit und wartet auf einen Befehl,2
574,ZF,Information geben,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,1
575,GF,Information geben,D3 fährt zum D2 vor und Vorbereitung des Überfasses kommen,7
576,ZF,Sonstiges,Ja so korrekt ende,2
577,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
578,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
579,GF,Information geben,Die Standorte der Roboter sind im Lagebild nicht zu erkennen kommen,2
580,ZF,Sonstiges,Ja das ist verstanden,2
581,ZF,Information nachfragen,gebe das an den Techniker hier weiter kommen,2
582,GF,Sonstiges,Ja verstanden ende,2
583,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
584,D2,Kontakt Bestätigung,D2 hört kommen,5
585,ZF,Information geben,D3 mit Überfass ist am Standort angekommen,2
586,ZF,Kontakt Anfrage,für sie Beginn des Auftrages Bergung des Behältnisses kommen,1
587,D2,Information geben,Auftrag wird ausgeführt kommen,7
588,ZF,Zusage,Ja das ist so korrekt ende,2
589,D1,Kontakt Anfrage,Zugführer D1 bitte kommen,4
590,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
591,D1,Information geben,D1 müsste nachladen bitte kommen,2
592,ZF,Zusage,Bitte die Aussage wiederholen kommen,1
593,D1,Information geben,D1 müsste neue Batterien bekommen dazu müssen wir landen bitte kommen,2
594,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
595,WHS,Kontakt Bestätigung,Hier WHS kommen,5
596,ZF,Information geben,Der D1 ist jetzt gerade im Akkuwechsel,2
597,ZF,Kontakt Anfrage,für sie Übergangsauftrag Bilddarstellung in der Lagerhalle innen kommen,1
598,WHS,Sonstiges,Auftrag verstanden ende,7
599,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
600,D2,Kontakt Bestätigung,D2 hört kommen,5
601,ZF,Information nachfragen,Frage ist die Position des Überfasses ausreichend kommen,3
602,D2,Information geben,Die Position von D3 ist OK kommen,7
603,ZF,Sonstiges,Ja das ist verstanden ende,2
604,WHS,Kontakt Anfrage,Zugführer an WHS kommen,4
605,D1,Kontakt Anfrage,Zugführer von D1,4
606,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
607,D1,Information geben,D1 ist wieder bereit bitte kommen,2
608,ZF,Sonstiges,Ja das ist verstanden,2
609,ZF,Information geben,für sie noch kurze Pause WHS ist gerade im Erkundungsflug kommen,2
610,D1,Sonstiges,Haben verstanden ende,2
611,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
612,GF,Kontakt Bestätigung,Gruppenführer hört,5
613,ZF,Information nachfragen,Frage Status Lagebildsystem,3
614,GF,Sonstiges,Ja die Roboter D1 und D2 im Lagebild ersichtlich kommen,2
615,ZF,Sonstiges,Ja das ist verstanden,2
616,GF,Information geben,D3 und D5 können nicht im Lagebild dargestellt werden,2
617,ZF,Sonstiges,D3 und D5 können nicht im Lagebild dargestellt werden das ist verstanden,2
618,D2,Kontakt Anfrage,Zugführer von D2 kommen,4
619,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
620,D2,Information geben,D2 hat den Kanister aufgenommen und fährt ihn jetzt zu D3 kommen,2
621,ZF,Sonstiges,Ja das ist verstanden,2
622,ZF,Einsatzbefehl,bitte melden wenn durchgeführt,1
623,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
624,WHS,Kontakt Bestätigung,hier WHS kommen,5
625,ZF,Information geben,Für sie ist der Erkundungsauftrag beendet kommen,2
626,WHS,Sonstiges,Haben verstanden ende,2
627,ZF,Information geben,D1 mitgehört sie können wieder die Innenerkundung starten kommen,1
628,D1,Sonstiges,Verstanden ende,7
629,ZF,Kontakt Anfrage,WHS von Zugführer kommen,4
630,WHS,Kontakt Bestätigung,Hier WHS kommen,5
631,ZF,Einsatzbefehl,Für sie Erkundungsauftrag Panoramabild der gesammten Lagerhalle kommen,1
632,WHS,Information geben,Soll das Panoramabild über der Lagerhalle gemacht werden kommen,3
633,ZF,Zusage,Ja das ist so korrekt kommen,7
634,WHS,Sonstiges,haben verstanden ende,2
635,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
636,GF,Kontakt Bestätigung,Gruppenführer hört,5
637,ZF,Einsatzbefehl,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,1
638,GF,Kontakt Anfrage,Erkundungsauftrag mit dem D5 linke Seite der Lagerhalle kommen,7
639,ZF,Zusage,Ja das ist so korrekt,2
640,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
641,GF,Kontakt Bestätigung,Gruppenführer hört,5
642,ZF,Information nachfragen,Wie sieht der Status dafür aus den D3 gleich mit geschlossenem Überfass aus der Lagerhalle zu fahren kommen,3
643,GF,Zusage,Ja ich melde mich gleich kommen,2
644,ZF,Sonstiges,Ja das ist verstanden ende,7
645,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
646,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
647,GF,Einsatzbefehl,Zur Information D5 zur Erkundung vor kommen,2
648,ZF,Sonstiges,D5 zur Erkundung linker Seite das ist verstanden,2
649,WHS,Kontakt Anfrage,Zugführer von WHS kommen,4
650,GF,Zusage,Ja genau ende,2
651,ZF,Kontakt Bestätigung,Hier Zugführer kommen wer hat gerufen kommen,5
652,WHS,Kontakt Anfrage,Zugführer von WHS kommen,4
653,ZF,Kontakt Anfrage,Ja hier Zugführer kommen,5
654,WHS,Information geben,Panoramabild wurde erstellt kommen,2
655,ZF,Sonstiges,Ja das ist verstanden,2
656,ZF,Information nachfragen,ist das im Lagebildsystem zu erkennen kommen,3
657,WHS,Information geben,Im Lagebildsystem ist nicht kann es nicht erkannt werden kommen,0
658,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
659,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
660,GF,Information geben,Frage der D3 soll noch nicht zurückgesetzt werden kommen,3
661,ZF,Zusage,Ja das ist korrekt,7
662,ZF,Information geben,wir warten noch auf die Verfrachtung des Behälters und danach wird er verschlossen kommen,2
663,GF,Sonstiges,Ja verstanden ende,2
664,GF,Kontakt Anfrage,D5 von Gruppenführer kommen,4
665,GF,Information geben,falsches Funkgerät,2
666,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
667,GF,Kontakt Bestätigung,Gruppenführer hört,5
668,D2,Kontakt Anfrage,Zugführer von D2 kommen,4
669,ZF,Information geben,Bitte ich sehe das bild vom D5 im Lagebildsystem bitte einmal die Gasse komplett durch,1
670,D2,Kontakt Anfrage,Zugführer von D2 kommen,4
671,GF,Sonstiges,Ja verstanden,7
672,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
673,D2,Information geben,D2 hat das Fass in das Überfass abgelegt,2
674,D2,Information_nachfragen,soll das Überfass auch abgedichtet werden kommen,3
675,ZF,Information geben,Behältniss wurde ins Überfass verfrachtet,2
676,ZF,Information geben,positiv  das Fass soll geschlossen werden kommen,7
677,D2,Sonstiges,Verstanden ende,2
678,ZF,Kontakt Anfrage,D1 von Zugführer kommen,4
679,D1,Kontakt Bestätigung,Hier D1 kommen,5
680,ZF,Sonstiges,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,1
681,D1,Sonstiges,So verstanden ende,7
682,WHS,Kontakt Anfrage,Zugführer von WHS kommen,4
683,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
684,WHS,Information geben,Die Drohne muss jetzt landen,2
685,WHS,Information geben,weil der Akku leer ist kommen,2
686,ZF,Information geben,Schon wieder dann schicken wir doch wieder WHS ins Rennen kommen,2
687,ZF,Kontakt Bestätigung,WHS mitgehört kommen,2
688,WHS,Information geben,WHS muss landen kommen,2
689,ZF,Sonstiges,Ja das ist verstanden,2
690,WHS,Kontakt Anfrage,Zugführer von WHS kommen,4
691,ZF,Kontakt Anfrage,Ja hier Zugführer kommen,5
692,WHS,Information geben,Unsere Drohne ist wieder einsatzbereit kommen,2
693,ZF,Sonstiges,Ja das ist verstanden,2
694,ZF,Information geben,für sie noch kein Einsatz der D1 ist noch im Flug im inneren kommen,2
695,WHS,Sonstiges,Haben verstanden kommen,2
696,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
697,GF,Kontakt Bestätigung,Gruppenführer hört,5
698,ZF,Sonstiges,Ja Frage status Erkundungsergebnisse vom D5 kommen,3
699,GF,Sonstiges,Ja bleiben sie kurz dran,6
700,GF,Kontakt Anfrage,Zugführer von Gruppenführer,4
701,ZF,Kontakt Bestätigung,Hier Zugführer hört,5
702,GF,Information geben,Ja noch keine Auffälligkeiten bei Erkundung durch D5,2
703,ZF,Sonstiges,Das ist verstanden,2
704,ZF,Einsatzbefehl,dann für sie neuer Erkundungssauftrag in die Halle einfahren und den D2 durch eine Bildübertragung unterstützen kommen,1
705,GF,Kontakt Anfrage,Ja den D2 duch eine Bildübertragung unterstützen kommen,7
706,ZF,Zusage,Ja das ist so korrekt,2
707,ZF,Information geben,für sie noch zur Information der Kanister wurde geborgen das Fass wird nun versiegelt kommen,2
708,GF,Sonstiges,Der Gefahrgutbehälter wurde geborgen das Überfass wird verschlossen habe verstanden kommen,2
709,ZF,Sonstiges,Ja so korrekt ende,2
710,ZF,Kontakt Anfrage,D1 von Zugführer kommen,4
711,D1,Kontakt Bestätigung,D1 hört,5
712,ZF,Information nachfragen,Frage wolltet ihr nicht landen kommen,3
713,D1,Information geben,Wir haben noch 4 Minuten mindestens,2
714,ZF,Information geben,Ja perfekt für sie zur Information der D5 kommt jetzt auch zur Unterstützung mit Bildübertragung in die Halle kommen,2
715,D1,Zusage,Alles klar ende,2
716,ZF,Kontakt Anfrage,D2 für Zugführer kommen,4
717,ZF,Kontakt Anfrage,D2 für Zugführer kommen,4
718,D2,Kontakt Bestätigung,D2 hört kommen,5
719,ZF,Sonstiges,Ja für sie zur Information der D5 kommt auch noch zur Unterstützung mittels Bildübertragung in die Halle kommen,2
720,D2,Sonstiges,Verstanden ende,2
721,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
722,ZF,Kontakt Bestätigung,Zugführer kommen,5
723,GF,Information geben,Ja zur Information der D5 fährt jetzt in die Halle ein um D2 zu unterstützen kommen,2
724,ZF,Sonstiges,Ja soweit verstanden,2
725,D2,Kontakt Anfrage,Zugführer von D2 kommen,4
726,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
727,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
728,ZF,Sonstiges,Gruppenführer warten sie kurz ende,6
729,D2,Information geben,Das Überfass wurde verschlossen kommen,2
730,ZF,Information geben,Ja hier Zugführer das Überfass wurde versiegelt ist das korrekt kommen,3
731,D2,Zusage,Das ist korrekt kommen,7
732,ZF,Sonstiges,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,1
733,D2,Sonstiges,Verstanden kommen,7
734,ZF,Zusage,So korrekt ende,2
735,ZF,Kontakt Anfrage,Gruppenführer von Zugführer kommen,4
736,GF,Kontakt Bestätigung,Gruppenführer hört,5
737,ZF,Kontakt Bestätigung,Sie hatten vorhin Sprechwunsch kommen,3
738,GF,Information geben,Der D5 hat den Zielort erreicht,2
739,GF,Einsatzbefehl,frage ausreichend Bildmaterial zur Unterstützung erhalten kommen,3
740,D1,Kontakt Anfrage,Zugführer von D1 kommen,4
741,ZF,Information geben,Das Bild ist super,2
742,ZF,Kontakt Anfrage,für sie zur Information das Überfass wurde versiegelt und der D2 fährt jetzt an der Gefahrenbereich heran kommen,2
743,GF,Sonstiges,Ja verstanden,2
744,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
745,D2,Kontakt Bestätigung,D2 hört kommen,5
746,ZF,Einsatzbefehl,Sofortiger Stop des Roboters,1
747,ZF,Information geben,Kontaminationsverschleppung,2
748,ZF,Einsatzbefehl,bitte verweilen sie am Gefahrenbereich kommen,1
749,D2,Sonstiges,Verstanden kommen,7
750,ZF,Information geben,Schön wieder zurück,1
751,ZF,Information geben,das zeug wollen wir hier nicht draußen haben,2
752,D2,Sonstiges,Verstanden kommen,7
753,D1,Kontakt Anfrage,Zugführer von D1 bitte kommen,4
754,ZF,Kontakt Anfrage,Hier Zugführer kommen,5
755,D1,Information geben,D1 muss landen bitte kommen,2
756,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
757,ZF,Sonstiges,Ja das ist verstanden,2
758,ZF,Information geben,auch für sie zur Information der D2 hat seinen Auftrag erledigt,2
759,ZF,Einsatzbefehl,für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,1
760,D1,Sonstiges,verstanden ende,7
761,ZF,Kontakt Bestätigung,hier Zugführer kommen,5
762,GF,Sonstiges,Ja frage Einsatzbefehl für den D2,3
763,GF,Information geben,der D2 steht zum Abstransport mit Behälter bereit,2
764,ZF,Kontakt Anfrage,Korrektur der D3 Fragezeichen kommen,3
765,GF,Zusage,Ja das ist korrekt der D3 kommen,7
766,ZF,Einsatzbefehl,Dann Auftag für den D3 das Fass an die Gefahrengrenze bringen,1
767,GF,Sonstiges,Ja das Überfass mit dem D3 an die Gefahrengrenze bringen verstanden,7
768,ZF,Kontakt Anfrage,D2 von Zugführer kommen,4
769,D2,Kontakt Bestätigung,D2 kommen,5
770,ZF,Information geben,Für sie ist der einsatz hier beendet,1
771,ZF,Information geben,der roboter wird an den Dekontaminationstrupp übergeben kommen,2
772,D2,Sonstiges,Verstanden kommen,7
773,GF,Kontakt Anfrage,Zugführer von Gruppenführer kommen,4
774,ZF,Kontakt Bestätigung,Zugführer hört,5
775,GF,Information geben,Ja der D3 ist jetzt mit Überfass an der Gefahrengrenze kommen,2
776,ZF,Sonstiges,Verstanden,2
777,ZF,Kontakt Anfrage,für sie hier auch Einsatzende,1
778,GF,Sonstiges,Ja verstanden ende,7
779,TL,Kontakt Bestätigung,Operator Boden 2 hörst du mich?,4
780,UGV-2,Kontakt Bestätigung,hier spricht der Roboter-Operator 2 ich höre Sie klar und deutlich,5
781,TL,Kontakt Anfrage,Operator Boden 1 für Teamleader kommen,4
782,UGV-1,Zusage,ich kann dich klar und deutlich verstehen,5
783,TL,Zusage,großartig,2
784,TL,Kontakt Anfrage,Mission Commander für Teamleader,4
785,MC,Kontakt Bestätigung,Mission Commander hört,5
786,TL,Information geben,wir sind soweit Kommunikation klappt,2
787,MC,Sonstiges,ja verstanden,2
788,MC,Information geben,dann warten wir auf das Startsignal das wird ein Martinhorn sein,2
789,MC,Information geben,UAV auf Position?,3
790,TL,Kontakt Bestätigung,Teamleader hört,5
791,MC,Information geben,auf dem Gelände hat es eine Explosion gegeben in nem unklaren Raum,2
792,MC,Information geben,wir haben im Moment Feuer drei gemeldet,2
793,MC,Einsatzbefehl,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,1
794,MC,Einsatzbefehl,so ihr Einsatzauftrag postieren Sie sich innerhalb der großen Halle im sicheren Bereich,1
795,MC,Einsatzbefehl,und melden Sie mir wenn Sie einsatzbereit sind,1
796,TL,Sonstiges,hier Teamleader verstanden,7
797,TL,Kontakt Anfrage,Team auf Position gehen,1
798,TL,Information geben,Boden 1 nach rechts,1
799,UGV-2,Zusage,ja ich versuche das rauszufinden,7
800,MC,Kontakt Anfrage,Teamleader für Mission Commander,4
